extrap measurements 4 225
200 1 70 1 1900.2014158945137
200 1 70 2 1953.4600430925002
200 1 70 3 1887.3009099093629
200 1 80 1 2030.693577691695
200 1 80 2 1990.8676466820054
200 1 80 3 2009.4491259623435
200 1 90 1 2111.1260993943974
200 1 90 2 2109.331559662601
200 1 90 3 2083.426491187685
200 2 70 1 1964.607537399701
200 2 70 2 1965.5452625376367
200 2 70 3 1939.0784871158962
200 2 80 1 1977.3075671054714
200 2 80 2 2002.0780069750535
200 2 80 3 1999.717065564525
200 2 90 1 2106.888727074221
200 2 90 2 2080.1998978508536
200 2 90 3 2124.684741076629
200 4 70 1 1971.0354014539382
200 4 70 2 2004.3379334059382
200 4 70 3 2018.1356808497253
200 4 80 1 2113.724135405269
200 4 80 2 2068.1844069709377
200 4 80 3 2050.7585596827016
200 4 90 1 2142.8142194057996
200 4 90 2 2128.419171133763
200 4 90 3 2131.018037004898
200 8 70 1 2408.7472318774876
200 8 70 2 2343.7273510410846
200 8 70 3 2364.959214369722
200 8 80 1 2410.2902863985873
200 8 80 2 2494.2196809111097
200 8 80 3 2474.189522402641
200 8 90 1 2521.725843426833
200 8 90 2 2572.800236628948
200 8 90 3 2532.9803381919373
200 16 70 1 4199.067812461777
200 16 70 2 4338.676916603023
200 16 70 3 4266.595563797722
200 16 80 1 4351.827103866629
200 16 80 2 4321.762317311086
200 16 80 3 4442.9523052215345
200 16 90 1 4454.293341071808
200 16 90 2 4485.68154365863
200 16 90 3 4516.6018159793175
400 1 70 1 1963.5536123745533
400 1 70 2 1966.692066565671
400 1 70 3 1963.4599955385115
400 1 80 1 2055.9694451220175
400 1 80 2 2016.1490065016753
400 1 80 3 2011.6795377805058
400 1 90 1 2137.812758327908
400 1 90 2 2155.7227440644947
400 1 90 3 2162.798583177809
400 2 70 1 1920.9223808824872
400 2 70 2 1979.4060035548316
400 2 70 3 1946.5753598782233
400 2 80 1 2014.0185741281362
400 2 80 2 2017.678282163952
400 2 80 3 2075.6093336598074
400 2 90 1 2089.468065812308
400 2 90 2 2115.243884463309
400 2 90 3 2130.761795735034
400 4 70 1 1983.100370605286
400 4 70 2 1990.219248699139
